question,response
What content do you listen to?,Music
How do you listen to content?,Favorite Artists
Why do you unsubscribe?,Unsatisfied with recommended content
What content do you listen to?,Podcasts
How do you listen to content?,Favorite Artists
Why do you unsubscribe?,Unsatisfied with recommended content
What content do you listen to?,Music
How do you listen to content?,Playlists
Why do you unsubscribe?,Too expensive
What content do you listen to?,Podcasts
How do you listen to content?,Playlists
Why do you unsubscribe?,Unsatisfied with recommended content
What content do you listen to?,Podcasts
How do you listen to content?,Playlists
Why do you unsubscribe?,Unsatisfied with recommended content
What content do you listen to?,Music
How do you listen to content?,Shuffle
Why do you unsubscribe?,Unsatisfied with recommended content
What content do you listen to?,Music
How do you listen to content?,Favorite Artists
Why do you unsubscribe?,Unsatisfied with recommended content
What content do you listen to?,Podcasts
How do you listen to content?,Shuffle
Why do you unsubscribe?,Unsatisfied with recommended content
What content do you listen to?,Podcasts
How do you listen to content?,Playlists
Why do you unsubscribe?,Unsatisfied with recommended content
What content do you listen to?,Music
How do you listen to content?,Playlists
Why do you unsubscribe?,Too expensive
What content do you listen to?,Podcasts
How do you listen to content?,Favorite Artists
Why do you unsubscribe?,Unsatisfied with recommended content
What content do you listen to?,Music
How do you listen to content?,Playlists
Why do you unsubscribe?,Unsatisfied with recommended content
What content do you listen to?,Podcasts
How do you listen to content?,Playlists
Why do you unsubscribe?,Unsatisfied with recommended content
What content do you listen to?,Podcasts
How do you listen to content?,Playlists
Why do you unsubscribe?,Too expensive
What content do you listen to?,Music
How do you listen to content?,Shuffle
Why do you unsubscribe?,Unsatisfied with recommended content
What content do you listen to?,Podcasts
How do you listen to content?,Playlists
Why do you unsubscribe?,Unsatisfied with recommended content
What content do you listen to?,Music
How do you listen to content?,Playlists
Why do you unsubscribe?,Unsatisfied with recommended content
What content do you listen to?,Music
How do you listen to content?,Shuffle
Why do you unsubscribe?,Too expensive
What content do you listen to?,Music
How do you listen to content?,Playlists
Why do you unsubscribe?,Unsatisfied with recommended content
What content do you listen to?,Podcasts
How do you listen to content?,Playlists
