track.id,track.name,track.artist,track.album.name,category,tempo,loudness,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,duration_min
5f3DCz8dOQdTLxzh8QQuvV,Loser,Apache 207,Loser,Hip-Hop,109.947,-7.355,0.137,0.862,0.802,0.002,0.142,0.263,0.151,3.6034
4cXzOWOwLfGVUOqI8nKQ8L,IN MEINER DNA,AK AUSSERKONTROLLE,IN MEINER DNA,Hip-Hop,130.004,-7.198,0.0904,0.867,0.453,0,0.0912,0.112,0.101,2.8548
45VFwSsxYlqhpwqFfvL6Zh,ALLES GLÄNZT,badmómzjay,ALLES GLÄNZT,Hip-Hop,139.996,-7.024,0.127,0.75,0.68,1.67e-4,0.26,0.27,0.422,2.689
2XHgNtpQI0xLQzTMMazUsG,BEYDA (feat. Nimo),CAPO,BEYDA (feat. Nimo),Hip-Hop,142.994,-8.894,0.102,0.678,0.725,0,0.211,0.142,0.546,3.6539
0xuaMTaQFsfaLPuMoYUQoP,MONTENEGRO (feat. RAF Camora),Safraoui,AKELA,Hip-Hop,98.525,-7.186,0.214,0.726,0.616,3.43e-6,0.12,0.169,0.245,2.945
1VgoFzUT9iofLfn3rHOI3z,IN & OUT,reezy,IN & OUT,Hip-Hop,133.716,-8.061,0.342,0.573,0.563,0,0.123,0.12,0.575,2.4739
1PoxR9dqTzlGYFJkHnpNfS,THOT,YAKARY,THOT,Hip-Hop,119.612,-5.283,0.125,0.579,0.615,0,0.145,0.391,0.53,2.2829
6t6h50gxCMDttl2k2UwyAt,MIND ON MY $$$,Summer Cem,MIND ON MY $$$,Hip-Hop,99.003,-6.76,0.436,0.703,0.716,8.84e-5,0.105,0.325,0.664,1.9676
5wTDhRWC81LtKuflVzWg6R,MAGDALENA,6PM RECORDS,MAGDALENA,Hip-Hop,142.029,-8.326,0.0118,0.766,0.477,3.7e-5,0.109,0.0669,0.336,2.0484
5Cb7uEN2BM9t0Y5FjEq9ga,BUSINESS STRAIGHT,BILLA JOE,BUSINESS STRAIGHT,Hip-Hop,102.049,-5.69,0.197,0.778,0.805,4.63e-6,0.0828,0.0725,0.653,2.0813
2DwZl2PUk0nMASSRbwYu2E,JUMPSHOT (feat. Summer Cem),CAPO,JUMPSHOT (feat. Summer Cem),Hip-Hop,113.854,-4.708,0.386,0.669,0.804,2.7e-5,0.0741,0.298,0.535,2.1305
